
   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 batch_learning_to_rank.py:2(<module>)
        1    0.000    0.000    0.000    0.000 batch_learning_to_rank.py:32(SVM_Rank)
        `
        3    0.000    0.000    1.131    0.377 batch_learning_to_rank.py:37(train)
        1    0.000    0.000    0.000    0.000 batch_learning_to_rank.py:48(RankLib)
        1    0.000    0.000    0.000    0.000 batch_learning_to_rank.py:50(__init__)
        1    0.000    0.000    0.000    0.000 batch_learning_to_rank.py:65(SophiaML)
        1    0.000    0.000    0.000    0.000 batch_learning_to_rank.py:67(__init__)
        1    0.000    0.000    0.000    0.000 builtin.py:2(<module>)
        1    0.000    0.000    0.000    0.000 builtin.py:23(set_conversion_mode)
        1    0.000    0.000    0.000    0.000 builtin.py:9(ConvMode)
        6    0.005    0.001    0.006    0.001 collections.py:293(namedtuple)
      244    0.000    0.000    0.000    0.000 collections.py:337(<genexpr>)
       30    0.000    0.000    0.000    0.000 collections.py:361(<genexpr>)
       30    0.000    0.000    0.000    0.000 collections.py:363(<genexpr>)
   206241    0.021    0.000    0.021    0.000 common.py:103(updateDuration)
   116238    0.046    0.000    0.094    0.000 common.py:112(addJob)
    74725    0.081    0.000    0.123    0.000 common.py:118(delJob)
   155848    0.051    0.000    0.148    0.000 common.py:137(copy)
    77924    0.037    0.000    0.198    0.000 common.py:149(split)
      161    0.001    0.000    0.004    0.000 common.py:15(module_to_class)
        1    0.000    0.000    0.000    0.000 common.py:159(CpuSnapshot)
      161    0.002    0.000    0.003    0.000 common.py:164(__init__)
   176734    0.012    0.000    0.012    0.000 common.py:171(snapshot_end_time)
   115208    0.192    0.000    0.545    0.000 common.py:177(_ensure_a_slice_starts_at)
      485    0.001    0.000    0.001    0.000 common.py:19(<genexpr>)
        1    0.000    0.000    0.000    0.000 common.py:2(<module>)
    34300    0.053    0.000    0.070    0.000 common.py:2(list_copy)
   115208    0.079    0.000    0.079    0.000 common.py:216(_slice_starts_at)
        1    0.000    0.000    0.000    0.000 common.py:22(Scheduler)
    77924    0.052    0.000    0.052    0.000 common.py:225(_slice_index_to_split)
    93635    0.039    0.000    0.074    0.000 common.py:235(_append_time_slice)
    54729    0.029    0.000    0.029    0.000 common.py:239(free_processors_available_at)
    80743    0.109    0.000    0.152    0.000 common.py:252(canJobStartNow)
      161    0.001    0.000    0.001    0.000 common.py:26(__init__)
     9442    0.044    0.000    0.079    0.000 common.py:292(jobEarliestAssignment)
   258009    0.149    0.000    0.149    0.000 common.py:332(_slices_time_range)
    24081    0.092    0.000    0.236    0.000 common.py:355(delTailofJobFromCpuSlices)
     9442    0.050    0.000    0.121    0.000 common.py:378(unAssignJob)
    33523    0.126    0.000    0.564    0.000 common.py:386(assignJob)
     9442    0.008    0.000    0.269    0.000 common.py:399(assignJobEarliest)
    48162    0.164    0.000    0.672    0.000 common.py:403(archive_old_slices)
    48162    0.121    0.000    0.208    0.000 common.py:420(unify_slices)
        1    0.000    0.000    0.000    0.000 common.py:70(CpuTimeSlice)
   249644    0.052    0.000    0.052    0.000 common.py:81(__init__)
    77924    0.007    0.000    0.007    0.000 common.py:98(updateStartTimeAndDuration)
        1    0.000    0.000    0.000    0.000 common_correctors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compat.py:21(<module>)
        1    0.000    0.000    0.000    0.000 conf.py:2(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1035(tzinfo)
        1    0.000    0.000    0.000    0.000 datetime.py:1108(time)
        2    0.000    0.000    0.000    0.000 datetime.py:1133(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1440(datetime)
      324    0.004    0.000    0.010    0.000 datetime.py:1448(__new__)
      322    0.004    0.000    0.032    0.000 datetime.py:1499(fromtimestamp)
      161    0.001    0.000    0.008    0.000 datetime.py:1867(__sub__)
     1387    0.008    0.000    0.009    0.000 datetime.py:27(_round)
     2282    0.001    0.000    0.002    0.000 datetime.py:272(_check_int_field)
      326    0.001    0.000    0.003    0.000 datetime.py:287(_check_date_fields)
      326    0.001    0.000    0.002    0.000 datetime.py:300(_check_time_fields)
      648    0.000    0.000    0.000    0.000 datetime.py:315(_check_tzinfo_arg)
        1    0.000    0.000    0.000    0.000 datetime.py:356(_tmxxx)
        1    0.000    0.000    0.000    0.000 datetime.py:417(timedelta)
     1065    0.019    0.000    0.031    0.000 datetime.py:436(__new__)
      322    0.000    0.000    0.000    0.000 datetime.py:52(_is_leap)
      898    0.004    0.000    0.005    0.000 datetime.py:550(__str__)
      325    0.000    0.000    0.000    0.000 datetime.py:56(_days_before_year)
      648    0.001    0.000    0.001    0.000 datetime.py:61(_days_in_month)
      322    0.001    0.000    0.001    0.000 datetime.py:68(_days_before_month)
        1    0.000    0.000    0.000    0.000 datetime.py:712(date)
      322    0.001    0.000    0.002    0.000 datetime.py:73(_ymd2ord)
        2    0.000    0.000    0.000    0.000 datetime.py:742(__new__)
      322    0.001    0.000    0.035    0.000 datetime.py:772(today)
      322    0.000    0.000    0.003    0.000 datetime.py:867(toordinal)
        1    0.000    0.000    0.000    0.000 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dll.py:1(<module>)
        1    0.000    0.000    0.000    0.000 docopt.py:1(<module>)
        6    0.000    0.000    0.000    0.000 docopt.py:103(__init__)
       10    0.000    0.000    0.000    0.000 docopt.py:106(__repr__)
        8    0.000    0.000    0.000    0.000 docopt.py:109(flat)
        2    0.000    0.000    0.000    0.000 docopt.py:112(match)
        1    0.000    0.000    0.000    0.000 docopt.py:133(BranchPattern)
        5    0.000    0.000    0.000    0.000 docopt.py:137(__init__)
        1    0.000    0.000    0.000    0.000 docopt.py:140(__repr__)
        2    0.000    0.000    0.000    0.000 docopt.py:142(<genexpr>)
     12/4    0.000    0.000    0.000    0.000 docopt.py:144(flat)
        1    0.000    0.000    0.000    0.000 docopt.py:150(Argument)
        2    0.000    0.000    0.000    0.000 docopt.py:152(single_match)
        1    0.000    0.000    0.000    0.000 docopt.py:165(Command)
        1    0.000    0.000    0.000    0.000 docopt.py:17(DocoptLanguageError)
        1    0.000    0.000    0.000    0.000 docopt.py:180(Option)
        1    0.000    0.000    0.000    0.000 docopt.py:219(Required)
        1    0.000    0.000    0.000    0.000 docopt.py:22(DocoptExit)
      2/1    0.000    0.000    0.000    0.000 docopt.py:221(match)
